num_commits,issues_resolved,slack_msgs,jira_tickets,team_velocity,productivity_score
23,12,67,6,31,20.027724161299677
15,8,30,14,22,17.90639769921848
21,12,49,11,35,22.36056740643716
25,10,51,11,30,25.98101852862294
15,15,48,4,39,17.350714232576678
17,3,65,4,35,27.70568926274563
19,5,54,8,28,21.75859987554835
21,10,46,8,19,9.418151528219964
17,7,43,7,29,20.82275001311523
19,8,52,7,27,17.343023682962414
16,15,61,10,32,16.933867711786196
21,12,51,11,33,21.52896677056145
21,15,48,9,37,19.351021352793754
17,4,43,8,30,17.713575927286385
22,11,53,6,30,17.927837144456984
14,8,53,12,28,23.889817031626524
17,9,42,5,24,20.88222958123374
17,5,60,13,35,28.53121316498125
21,10,67,8,29,15.790293744827128
21,13,50,9,24,14.115661146568474
13,7,53,7,24,16.270553643807006
18,10,38,9,28,19.27579952599669
25,4,57,9,32,19.027735964299616
17,8,54,8,35,22.31801974680491
24,10,46,6,38,16.598964463653623
23,10,42,5,28,24.503998309086313
24,17,68,5,25,24.441081175434217
18,16,53,6,33,16.46468790218488
26,10,40,7,28,15.472555318314711
18,4,58,6,31,16.56940868621827
17,12,52,8,29,6.070360502648718
23,11,50,8,29,19.996339828875545
26,9,59,8,16,16.952871457953044
14,14,23,5,32,13.975618654420318
24,7,31,11,23,12.86768490804918
24,17,63,11,24,24.97279372119261
20,13,48,7,14,15.228464774559509
17,8,45,15,18,20.510989071805902
27,12,36,10,33,28.97799806547127
19,11,51,5,29,26.885188464619603
16,14,53,8,26,23.68106449506182
17,11,64,8,28,11.882712260815017
28,9,53,13,23,31.93740308895911
24,10,46,9,31,19.08428247723589
27,11,54,7,32,17.622946133397605
17,11,61,8,32,11.980533074744766
16,15,58,10,31,20.35776025359117
19,11,56,5,18,19.99804768218556
14,8,52,13,23,16.488293097678383
29,10,44,14,33,25.60313112409519
20,8,39,7,35,16.546493980816628
32,10,38,11,38,25.487687255602765
20,15,53,6,36,23.257649270126038
17,8,54,4,21,24.443858096859085
21,11,60,6,32,26.66162171470868
10,5,55,4,21,15.630350921564558
27,9,60,13,31,32.704650235970405
14,6,48,3,30,13.877066336992081
22,6,57,11,24,26.0218039901908
16,10,39,8,24,16.622272054689446
18,12,49,7,26,12.00426152938066
22,9,31,2,32,22.54994281928903
13,9,50,4,35,20.902974241342964
17,12,62,11,30,24.37314991738349
22,17,50,6,41,27.729732867813073
20,8,57,12,20,27.13237948825764
22,3,52,9,38,23.798368690933017
23,10,44,11,34,22.183713411814303
29,14,48,9,30,24.646636280376672
18,13,61,8,41,26.104392359694465
17,9,57,10,23,13.177957474894678
25,12,43,4,22,16.886132322982814
20,9,36,6,35,12.652509350535965
27,7,52,12,26,29.659903115580054
18,12,44,6,25,8.906495702004646
26,10,48,6,29,10.48429337904301
22,11,35,12,25,24.773147572731112
21,10,60,6,27,18.280509129717913
13,10,49,11,28,17.651471228672666
21,12,50,8,27,15.146020007007582
22,9,41,10,29,24.89618430617636
23,7,47,3,28,14.644659070999836
18,4,51,11,28,16.44370644718463
22,11,43,10,29,12.339379414154081
22,8,47,7,27,16.47697722333213
13,8,63,11,33,26.29074641098946
17,10,32,8,25,21.727223117066988
27,13,51,5,32,16.89907218248589
24,13,42,4,30,32.46861885286583
21,6,63,6,24,13.863271601383122
15,16,48,13,30,26.474987101202196
17,11,39,9,33,11.329368862353634
22,6,47,14,29,16.509122556215623
